codigo,nombre,precio_texto,precio_valor,moneda,imagen,imagen_url
L4902,JUEGO DE 20 HERRAMIENTAS LUSQTOFF ________________,"$ 51,000",51.0,ARS,fotos/CONSERV-10LTS.jpg,https://www.electrotecno.ar/fotos/CONSERV-10LTS.jpg
L4904,JUEGO DE 67 HERRAMIENTAS LUSQTOFF ________________,"$ 67,500",67.5,ARS,fotos/CONSERV-10LTS-2.jpg,https://www.electrotecno.ar/fotos/CONSERV-10LTS-2.jpg
L4906,JUEGO DE 14 HERRAMIENTAS LUSQTOFF ________________,"$ 25,500",25.5,ARS,fotos/CONSERV-10LTS-2.jpg,https://www.electrotecno.ar/fotos/CONSERV-10LTS-2.jpg
L4912,JUEGO DE 10 HERRAMIENTAS LUSQTOFF ________________,"$ 30,000",30.0,ARS,fotos/CR1216.jpg,https://www.electrotecno.ar/fotos/CR1216.jpg
L4914,JUEGO DE 15 HERRAMIENTAS LUSQTOFF ________________,"$ 23,500",23.5,ARS,fotos/CR1216.jpg,https://www.electrotecno.ar/fotos/CR1216.jpg
LA-1500MM,ASPIRADORA INDUSTRIAL 1400W 15 LTS LUSQTOFF ______,"$ 69,000",69.0,ARS,fotos/CR1216-2.jpg,https://www.electrotecno.ar/fotos/CR1216-2.jpg
LA1400M--,ASPIRADORA ELECTRICA 25 LTS - 1400W - LUSQTOFF ___,"$ 120,000",120.0,ARS,fotos/CR1216-2.jpg,https://www.electrotecno.ar/fotos/CR1216-2.jpg
LCO1203-8B,CORTADORA DE CESPED ELECTRICA 1200W LUSQTOFF _____,"$ 150,000",150.0,ARS,fotos/estante1.jpg,https://www.electrotecno.ar/fotos/estante1.jpg
LG3000E,"GENERADOR NAFTERO 2500W 2.8KW 6,5HP LUSQTOFF _____","$ 440,000",440.0,ARS,fotos/estante1.jpg,https://www.electrotecno.ar/fotos/estante1.jpg
LG3500EX,GENERADOR NAFTERO 3500W LUSQTOFF _________________,"$ 500,000",500.0,ARS,fotos/FR-7300.jpg,https://www.electrotecno.ar/fotos/FR-7300.jpg
LPS15-8.5Z,"BOMBA PRESURIZADORA 8.5M - 0,13 HP - 100W LUSQTOFF","$ 36,500",36.5,ARS,fotos/FR-7300.jpg,https://www.electrotecno.ar/fotos/FR-7300.jpg
LQ-IONSOL,IONIZADOR SOLAR PARA PILETAS LUSQTOFF ____________,"$ 45,000",45.0,ARS,fotos/FR-7300-2.jpg,https://www.electrotecno.ar/fotos/FR-7300-2.jpg
LQ500-,CORTADORA DE CESPED NAFTERA A EXPLOSION LUSQTOFF _,"$ 325,000",325.0,ARS,fotos/FR-7300-2.jpg,https://www.electrotecno.ar/fotos/FR-7300-2.jpg
LQC-70,CARRO PLEGABLE HASTA 70KG LUSQTOFF _______________,"$ 43,000",43.0,ARS,fotos/FR-7300-3.jpg,https://www.electrotecno.ar/fotos/FR-7300-3.jpg
LQC2-,CRIQUET CARRITO GATO 2 TONELADAS LUSQTOFF ________,"$ 46,500",46.5,ARS,fotos/FR-7300-3.jpg,https://www.electrotecno.ar/fotos/FR-7300-3.jpg
LTF-6308R,TERMOFUSORA 220V - 50HZ 800W LUSQTOFF ____________,"$ 36,000",36.0,ARS,fotos/FRUTERO4.jpg,https://www.electrotecno.ar/fotos/FRUTERO4.jpg
MEGAIRON140--,SOLDADORA INVERTER LUSQTOFF MEGAIRON140 __________,"$ 155,000",155.0,ARS,fotos/FRUTERO4.jpg,https://www.electrotecno.ar/fotos/FRUTERO4.jpg
MEGAIRON180-9--,SOLDADORA INVERTER LUSQTOFF MEGAIRON180 KIT ______,"$ 170,000",170.0,ARS,fotos/FRUTERO4-2.jpg,https://www.electrotecno.ar/fotos/FRUTERO4-2.jpg
SAL3TON-7,SOPORTE PARA AUTO 3 TONELADAS LUSQTOFF CABALLETE _,"$ 39,500",39.5,ARS,fotos/FRUTERO4-2.jpg,https://www.electrotecno.ar/fotos/FRUTERO4-2.jpg
